,Credit_Score
0,Good
1,Good
2,Good
3,Good
4,Good
5,Good
6,Good
7,Standard
8,Standard
9,Good
10,Standard
11,Good
12,Good
13,Good
14,Good
15,Good
16,Good
17,Good
18,Good
19,Good
20,Good
21,Good
22,Standard
23,Standard
24,Standard
25,Standard
26,Standard
27,Standard
28,Standard
29,Standard
30,Standard
31,Standard
32,Standard
33,Standard
34,Standard
35,Standard
36,Standard
37,Standard
38,Standard
39,Standard
40,Good
41,Good
42,Good
43,Good
44,Good
45,Good
46,Standard
47,Good
48,Good
49,Good
50,Good
51,Good
52,Good
53,Standard
54,Good
55,Good
56,Poor
57,Poor
58,Poor
59,Poor
60,Standard
61,Standard
62,Standard
63,Poor
64,Good
65,Good
66,Good
67,Good
68,Standard
69,Good
70,Good
71,Standard
72,Good
73,Good
74,Good
75,Good
76,Good
77,Good
78,Good
79,Good
80,Standard
81,Standard
82,Standard
83,Standard
84,Standard
85,Standard
86,Standard
87,Standard
88,Standard
89,Good
90,Standard
91,Standard
92,Good
93,Good
94,Good
95,Good
96,Standard
97,Standard
98,Standard
99,Standard
100,Standard
101,Standard
102,Standard
103,Standard
104,Poor
105,Poor
106,Poor
107,Poor
108,Poor
109,Poor
110,Poor
111,Poor
112,Standard
113,Standard
114,Standard
115,Standard
116,Standard
117,Standard
118,Standard
119,Standard
120,Standard
121,Standard
122,Standard
123,Standard
124,Standard
125,Standard
126,Standard
127,Standard
128,Standard
129,Standard
130,Standard
131,Poor
132,Poor
133,Poor
134,Poor
135,Poor
136,Standard
137,Standard
138,Standard
139,Standard
140,Standard
141,Standard
142,Standard
143,Standard
144,Standard
145,Standard
146,Standard
147,Good
148,Good
149,Good
150,Standard
151,Good
152,Poor
153,Poor
154,Poor
155,Standard
156,Poor
157,Poor
158,Poor
159,Standard
160,Standard
161,Standard
162,Standard
163,Poor
164,Poor
165,Poor
166,Poor
167,Poor
168,Poor
169,Poor
170,Poor
171,Standard
172,Poor
173,Poor
174,Poor
175,Poor
176,Good
177,Good
178,Good
179,Good
180,Good
181,Standard
182,Standard
183,Standard
184,Standard
185,Standard
186,Standard
187,Poor
188,Poor
189,Poor
190,Poor
191,Poor
192,Poor
193,Standard
194,Poor
195,Poor
196,Poor
197,Standard
198,Standard
199,Poor
200,Standard
201,Standard
202,Standard
203,Standard
204,Standard
205,Standard
206,Standard
207,Standard
208,Poor
209,Standard
210,Standard
211,Poor
212,Poor
213,Poor
214,Standard
215,Poor
216,Standard
217,Standard
218,Standard
219,Standard
220,Standard
221,Standard
222,Standard
223,Standard
224,Standard
225,Standard
226,Standard
227,Standard
228,Standard
229,Standard
230,Standard
231,Standard
232,Poor
233,Poor
234,Poor
235,Poor
236,Standard
237,Poor
238,Poor
239,Poor
240,Good
241,Standard
242,Good
243,Good
244,Standard
245,Good
246,Standard
247,Standard
248,Poor
249,Poor
250,Poor
251,Standard
252,Poor
253,Poor
254,Poor
255,Poor
256,Standard
257,Standard
258,Standard
259,Standard
260,Standard
261,Standard
262,Standard
263,Standard
264,Standard
265,Standard
266,Standard
267,Standard
268,Standard
269,Standard
270,Standard
271,Standard
272,Standard
273,Standard
274,Standard
275,Good
276,Good
277,Good
278,Good
279,Standard
280,Standard
281,Standard
282,Standard
283,Good
284,Good
285,Good
286,Good
287,Good
288,Standard
289,Standard
290,Standard
291,Poor
292,Poor
293,Poor
294,Poor
295,Poor
296,Standard
297,Standard
298,Standard
299,Standard
300,Standard
301,Standard
302,Standard
303,Standard
304,Poor
305,Poor
306,Poor
307,Standard
308,Poor
309,Poor
310,Poor
311,Standard
312,Standard
313,Standard
314,Standard
315,Standard
316,Standard
317,Standard
318,Standard
319,Standard
320,Standard
321,Standard
322,Standard
323,Standard
324,Standard
325,Standard
326,Standard
327,Standard
328,Standard
329,Standard
330,Standard
331,Standard
332,Standard
333,Standard
334,Standard
335,Standard
336,Standard
337,Standard
338,Standard
339,Standard
340,Standard
341,Standard
342,Standard
343,Standard
344,Good
345,Good
346,Good
347,Good
348,Good
349,Good
350,Good
351,Good
352,Good
353,Good
354,Good
355,Good
356,Good
357,Good
358,Good
359,Good
360,Standard
361,Standard
362,Standard
363,Standard
364,Standard
365,Standard
366,Poor
367,Standard
368,Standard
369,Poor
370,Poor
371,Standard
372,Poor
373,Poor
374,Poor
375,Standard
376,Good
377,Standard
378,Good
379,Standard
380,Good
381,Good
382,Good
383,Good
384,Standard
385,Standard
386,Standard
387,Standard
388,Standard
389,Standard
390,Standard
391,Standard
392,Standard
393,Standard
394,Standard
395,Good
396,Standard
397,Good
398,Good
399,Good
400,Poor
401,Poor
402,Poor
403,Poor
404,Poor
405,Poor
406,Poor
407,Poor
408,Poor
409,Poor
410,Poor
411,Poor
412,Poor
413,Poor
414,Poor
415,Standard
416,Poor
417,Poor
418,Poor
419,Poor
420,Poor
421,Poor
422,Poor
423,Poor
424,Good
425,Good
426,Standard
427,Standard
428,Standard
429,Standard
430,Standard
431,Standard
432,Standard
433,Standard
434,Standard
435,Standard
436,Standard
437,Standard
438,Standard
439,Standard
440,Standard
441,Standard
442,Standard
443,Good
444,Good
445,Good
446,Good
447,Good
448,Standard
449,Standard
450,Standard
451,Standard
452,Standard
453,Standard
454,Standard
455,Standard
456,Standard
457,Poor
458,Standard
459,Poor
460,Poor
461,Poor
462,Standard
463,Standard
464,Poor
465,Poor
466,Poor
467,Standard
468,Poor
469,Poor
470,Poor
471,Poor
472,Poor
473,Standard
474,Standard
475,Poor
476,Standard
477,Poor
478,Poor
479,Poor
480,Standard
481,Poor
482,Poor
483,Poor
484,Poor
485,Standard
486,Poor
487,Poor
488,Standard
489,Standard
490,Standard
491,Standard
492,Standard
493,Standard
494,Standard
495,Standard
496,Good
497,Good
498,Standard
499,Good
500,Good
501,Good
502,Good
503,Good
504,Good
505,Standard
506,Good
507,Good
508,Standard
509,Good
510,Good
511,Good
512,Standard
513,Standard
514,Standard
515,Standard
516,Standard
517,Standard
518,Standard
519,Standard
520,Standard
521,Poor
522,Standard
523,Poor
524,Standard
525,Poor
526,Poor
527,Standard
528,Standard
529,Standard
530,Standard
531,Standard
532,Standard
533,Standard
534,Standard
535,Standard
536,Poor
537,Poor
538,Poor
539,Standard
540,Standard
541,Standard
542,Poor
543,Poor
544,Standard
545,Standard
546,Standard
547,Standard
548,Standard
549,Standard
550,Standard
551,Standard
552,Poor
553,Poor
554,Poor
555,Poor
556,Poor
557,Poor
558,Poor
559,Poor
560,Standard
561,Standard
562,Standard
563,Standard
564,Good
565,Good
566,Good
567,Good
568,Standard
569,Standard
570,Standard
571,Standard
572,Standard
573,Standard
574,Standard
575,Standard
576,Standard
577,Good
578,Good
579,Standard
580,Good
581,Good
582,Good
583,Good
584,Standard
585,Standard
586,Standard
587,Standard
588,Standard
589,Standard
590,Standard
591,Standard
592,Good
593,Good
594,Good
595,Good
596,Good
597,Good
598,Standard
599,Good
600,Standard
601,Poor
602,Standard
603,Poor
604,Poor
605,Poor
606,Standard
607,Standard
608,Standard
609,Standard
610,Standard
611,Standard
612,Standard
613,Standard
614,Good
615,Good
616,Good
617,Standard
618,Good
619,Good
620,Good
621,Good
622,Good
623,Good
624,Standard
625,Standard
626,Standard
627,Poor
